date_num	date	a	b	close	d	e	f	g	h	i
2006,776489	10-Oct-2006	457410	337307.00	6.72	90.04	8.17	10.44	91.02	11.89	6.41
2006,803711	20-Oct-2006	463368	340632.59	9.74	89.15	8.31	13.49	90.12	12.03	6.47
2006,830933	30-Oct-2006	204019	149808.09	9.68	90.20	8.17	13.29	91.15	11.90	6.53
2006,885254	19-Nov-2006	366782	267350.81	8.47	89.49	6.68	12.30	90.04	10.45	6.14
2006,912354	29-Nov-2006	475061	345326.69	3.50	87.61	5.70	7.28	88.01	9.49	5.95
2006,939575	8-Dec-2006	461326	333206.50	6.56	87.89	4.78	10.31	88.34	8.59	5.89
2006,966675	18-Dec-2006	479795	344599.31	3.55	86.47	3.89	7.41	86.75	7.71	5.88
2006,993897	28-Dec-2006	484008	347981.31	3.16	83.70	2.98	7.01	83.95	6.81	5.80
2007,020996	7-Jan-2007	480513	345550.50	2.01	82.69	2.13	5.87	82.73	5.98	5.71
2007,048218	17-Jan-2007	478495	344866.69	0.77	83.70	1.28	4.61	83.54	5.13	5.49
2007,075317	27-Jan-2007	478535	344773.50	-0.04	86.03	0.71	3.83	85.94	4.57	5.43
2007,102539	6-Feb-2007	482193	347595.91	-0.93	86.89	0.43	2.92	86.55	4.31	5.56
2007,129761	16-Feb-2007	477375	343469.59	-0.52	85.82	0.39	3.38	85.37	4.27	5.81
2007,15686	26-Feb-2007	481245	346485.00	3.13	88.15	0.41	7.04	87.81	4.31	6.08
2007,184082	8-Mar-2007	478752	345584.09	-0.10	90.13	0.38	3.77	89.78	4.29	6.25
2007,211182	18-Mar-2007	476954	344302.69	0.02	89.94	0.30	3.93	89.54	4.22	6.36
2007,238403	28-Mar-2007	477098	344197.31	-1.46	88.28	0.20	2.51	87.86	4.13	6.49
2007,265503	6-Apr-2007	476659	343231.00	1.67	89.12	0.03	5.63	88.86	3.98	6.59
2007,292725	16-Apr-2007	475841	342382.19	1.24	86.51	-0.31	5.21	86.11	3.65	6.56
2007,319824	26-Apr-2007	475043	342166.31	0.25	84.98	-0.84	4.21	84.57	3.12	6.35
2007,347046	6-May-2007	475774	342732.31	-4.66	85.19	-1.41	-0.69	84.74	2.55	6.11
2007,374146	16-May-2007	477550	344979.91	-1.60	85.22	-1.84	2.35	85.03	2.12	5.98
2007,401367	26-May-2007	473090	342113.69	-1.82	83.35	-2.05	2.13	83.26	1.92	5.99
2007,428589	5-Jun-2007	478194	346307.81	-2.38	83.07	-2.08	1.58	82.89	1.89	6.05
2007,455689	15-Jun-2007	474958	343853.09	-2.79	81.96	-1.99	1.18	81.78	1.98	6.05
2007,48291	25-Jun-2007	475229	345273.59	-1.26	83.99	-1.84	2.73	84.06	2.13	5.92
2007,51001	5-Jul-2007	474161	346150.19	-1.35	84.66	-1.62	2.61	84.79	2.36	5.65
2007,537231	15-Jul-2007	472106	345519.69	-1.68	82.16	-1.24	2.30	82.45	2.75	5.33
2007,564331	24-Jul-2007	464446	340716.09	-2.92	81.21	-0.60	1.08	81.44	3.39	5.07
2007,591553	3-Aug-2007	465478	342995.91	-1.06	83.11	0.27	2.93	83.42	4.26	4.88
2007,618652	13-Aug-2007	463210	340800.91	5.01	82.80	1.21	8.99	83.31	5.21	4.69
2007,645874	23-Aug-2007	461334	339989.19	2.07	82.64	2.07	6.09	83.32	6.07	4.37
2007,672974	2-Sep-2007	462666	341537.59	1.37	84.63	2.86	5.37	85.37	6.87	4.05
2007,700195	12-Sep-2007	460166	341047.69	2.26	86.17	3.67	6.27	86.95	7.69	3.87
2007,727417	22-Sep-2007	462923	342210.31	6.47	88.20	4.55	10.50	89.11	8.57	3.94
2007,754517	2-Oct-2007	464384	342669.59	5.67	88.27	5.42	9.70	89.33	9.45	4.25
2007,781738	12-Oct-2007	458575	337449.41	5.30	88.25	6.23	9.33	89.15	10.27	4.76
2007,808838	22-Oct-2007	465652	342829.50	7.91	87.30	6.97	11.94	88.26	11.01	5.47
2007,83606	1-Nov-2007	469975	344986.09	6.89	85.89	7.59	10.94	86.62	11.64	6.33
2007,863159	11-Nov-2007	473297	345780.41	8.73	85.74	7.91	12.78	86.27	11.97	7.14
2007,890381	20-Nov-2007	474650	345484.50	10.86	85.08	7.69	14.95	85.73	11.76	7.59
2007,917481	30-Nov-2007	473374	342683.00	8.88	83.80	6.81	12.96	84.41	10.89	7.50
2007,944702	10-Dec-2007	479715	346505.31	6.42	82.56	5.41	10.51	83.00	9.50	6.97
2007,971802	20-Dec-2007	478694	344845.09	0.64	81.73	3.92	4.75	81.86	8.01	6.34
2007,999023	30-Dec-2007	480235	346170.19	0.89	85.62	2.69	4.95	85.50	6.78	5.92
2008,026123	9-Jan-2008	480821	346281.81	1.81	85.64	1.82	5.95	85.49	5.92	5.78
2008,053223	19-Jan-2008	479854	346013.41	2.87	85.54	1.19	6.97	85.50	5.29	5.75
2008,080322	29-Jan-2008	478949	345440.69	0.92	86.08	0.66	5.00	85.94	4.76	5.70
2008,107422	8-Feb-2008	473657	342640.31	-2.72	89.45	0.24	1.38	89.07	4.35	5.66
2008,134522	18-Feb-2008	476326	344388.59	1.06	90.89	0.01	5.18	90.45	4.12	5.71
2008,161621	28-Feb-2008	477074	344915.31	-1.35	90.98	-0.05	2.77	90.36	4.07	5.87
2008,188721	9-Mar-2008	478417	345949.91	0.88	91.37	-0.11	5.00	90.75	4.03	6.02
2008,21582	18-Mar-2008	477046	344819.09	1.55	89.92	-0.34	5.69	89.37	3.82	6.00
2008,242798	28-Mar-2008	475431	342529.00	-1.12	90.21	-0.79	3.07	89.56	3.39	5.78
2008,269898	7-Apr-2008	472772	340283.81	-1.41	89.57	-1.33	2.80	88.91	2.87	5.52
2008,296997	17-Apr-2008	472393	340335.00	-2.02	89.42	-1.69	2.21	88.97	2.53	5.49
2008,324097	27-Apr-2008	472245	339858.81	-4.59	88.73	-1.57	-0.32	88.28	2.66	5.94
2008,351196	7-May-2008	209043	151166.59	-3.60	87.57	-0.86	0.63	87.22	3.37	6.98
2008,378296	17-May-2008	475778	342512.59	1.52	85.02	0.25	5.76	85.02	4.49	8.38
2008,405396	27-May-2008	479722	346259.50	3.71	85.59	1.40	7.96	85.60	5.64	9.73
2008,432495	6-Jun-2008	477387	345775.81	2.76	85.19	2.29	7.00	85.17	6.53	10.69
2008,459595	16-Jun-2008	474771	345555.81	3.01	82.61	2.84	7.23	82.68	7.08	11.13
2008,486694	26-Jun-2008	474275	345087.59	3.49	83.20	3.15	7.72	83.59	7.38	11.12
2008,513794	6-Jul-2008	475170	346068.09	3.20	82.82	3.38	7.46	83.30	7.62	10.83
2008,540894	15-Jul-2008	455535	334823.69	2.93	83.78	3.68	7.13	84.42	7.93	10.40
2008,567993	25-Jul-2008	466933	342763.69	4.00	85.75	4.15	8.26	86.43	8.41	9.96
2008,595093	4-Aug-2008	456021	335914.09	3.72	85.31	4.82	8.01	85.83	9.08	9.56
2008,622192	14-Aug-2008	464058	343322.31	6.02	85.67	5.65	10.27	86.40	9.92	9.25
2008,649292	24-Aug-2008	451789	334508.41	6.39	86.30	6.57	10.69	87.16	10.85	9.01
2008,67627	3-Sep-2008	455085	336686.59	8.20	87.03	7.51	12.50	88.09	11.80	8.85
2008,703369	13-Sep-2008	461597	340563.09	7.73	88.21	8.43	12.00	89.37	12.72	8.80
