museo	nazione	licenza	tipo	anno	nopere
Naturalis Biodiversity Center	netherlands	http://creativecommons.org/publicdomain/zero/1.0/	IMAGE	2015	9198
Naturalis Biodiversity Center	netherlands	http://www.europeana.eu/rights/rr-f/	SOUND	2014	831
Naturalis Biodiversity Center	netherlands	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	77622
SNM - Spišské múzeum v Levoči	slovakia	http://www.europeana.eu/rights/unknown/	IMAGE	2014	1612
Namdalsmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	218
Namdalsmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	238
Namdalsmuseet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1145
Schleswig-Holsteinische Landesbibliothek	germany	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	1595
Det Lokalhistoriske Arkiv i Herning	denmark	http://creativecommons.org/licenses/by-nc-nd/1.0/	IMAGE	2015	1585
ETUI - European Trade Union Institute Documentation Centre	belgium	http://www.europeana.eu/rights/rr-f/	TEXT	2016	1572
Fotosar - CulturaItalia	italy	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1567
Latgales kultūrvēstures muzejs	latvia	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1560
e-codices	switzerland	http://creativecommons.org/licenses/by-nc/3.0/	TEXT	2016	1554
Ville de Bourg-en-Bresse	france	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	1545
Spletna galerija, Semantika d.o.o.	slovenia	http://creativecommons.org/licenses/by-nc/3.0/	IMAGE	2015	1517
Architekturmuseum der Technischen Universität Berlin in der Universitätsbibliothek	germany	http://creativecommons.org/licenses/by-nc-sa/4.0/	IMAGE	2014	90020
Robarts - University of Toronto (archive.org)	europe	http://www.europeana.eu/rights/rr-f/	TEXT	2015	1504
Arquivo Municipal de Lisboa	portugal	http://www.europeana.eu/rights/rr-f/	TEXT	2015	1499
Screen Archive South East	united kingdom	http://www.europeana.eu/rights/rr-f/	VIDEO	2016	1048
Screen Archive South East	united kingdom	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	232
Screen Archive South East	united kingdom	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	145
Screen Archive South East	united kingdom	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	66
Screen Archive South East	united kingdom	http://www.europeana.eu/rights/rr-f/	VIDEO	2015	1
Księgozbiór Wirtualny Federacji Bibliotek Kościelnych FIDES	poland	http://www.europeana.eu/rights/rr-f/	TEXT	2014	1309
Księgozbiór Wirtualny Federacji Bibliotek Kościelnych FIDES	poland	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2014	168
Księgozbiór Wirtualny Federacji Bibliotek Kościelnych FIDES	poland	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	3
Diözesanarchiv St. Pölten	austria	http://creativecommons.org/licenses/by-nc-sa/3.0/	TEXT	2014	1
Diözesanarchiv St. Pölten	austria	http://creativecommons.org/licenses/by-nc-sa/3.0/	IMAGE	2014	1478
Fondo Documental Histórico de las Cortes de Aragón	spain	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	1124
Fondo Documental Histórico de las Cortes de Aragón	spain	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	352
Kystreise	norway	http://creativecommons.org/licenses/by-nd/4.0/	VIDEO	2015	138
Kystreise	norway	http://creativecommons.org/licenses/by-nd/4.0/	IMAGE	2015	1184
Kystreise	norway	http://creativecommons.org/licenses/by-sa/4.0/	IMAGE	2015	2
Kystreise	norway	http://creativecommons.org/licenses/by-sa/4.0/	VIDEO	2015	1
Kystreise	norway	http://www.europeana.eu/rights/unknown/	IMAGE	2015	4
Kystreise	norway	http://creativecommons.org/licenses/by-nd/4.0/	IMAGE	2016	64
Kystreise	norway	http://creativecommons.org/licenses/by-nd/4.0/	VIDEO	2016	46
Kystreise	norway	http://creativecommons.org/licenses/by-sa/4.0/	IMAGE	2016	1
RTÉ	ireland	http://www.europeana.eu/rights/rr-f/	VIDEO	2016	410
RTÉ	ireland	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	942
RTÉ	ireland	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	19
RTÉ	ireland	http://www.europeana.eu/rights/rr-f/	SOUND	2014	42
RTÉ	ireland	http://www.europeana.eu/rights/rr-f/	TEXT	2014	1
IURIS Digital	spain	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2015	1401
IURIS Digital	spain	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2015	1
" 	Bibliothèque municipale de Chambéry "	france	http://creativecommons.org/licenses/by-nc/4.0/	IMAGE	2016	564
" 	Bibliothèque municipale de Chambéry "	france	http://creativecommons.org/licenses/by-nc/4.0/	TEXT	2016	835
National Library of Poland	poland	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2014	84418
www.esbirky.cz	czech republic	http://creativecommons.org/publicdomain/zero/1.0/	IMAGE	2014	637
www.esbirky.cz	czech republic	http://creativecommons.org/publicdomain/zero/1.0/	IMAGE	2013	751
Heemkring Heidebloemke	belgium	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1382
Biblioteca Virtual de La Rioja	spain	http://creativecommons.org/publicdomain/zero/1.0/	TEXT	2015	1329
Biblioteca Virtual de La Rioja	spain	http://creativecommons.org/publicdomain/zero/1.0/	IMAGE	2015	45
Kauno IX forto muziejus / Kaunas 9th Fort Museum	lithuania	http://creativecommons.org/licenses/by/4.0/	IMAGE	2016	704
Kauno IX forto muziejus / Kaunas 9th Fort Museum	lithuania	http://creativecommons.org/publicdomain/mark/1.0/	IMAGE	2014	663
LCVA	lithuania	http://www.europeana.eu/rights/rr-f/	SOUND	2016	598
LCVA	lithuania	http://www.europeana.eu/rights/rr-f/	VIDEO	2016	45
LCVA	lithuania	http://creativecommons.org/publicdomain/mark/1.0/	VIDEO	2015	686
LCVA	lithuania	http://creativecommons.org/publicdomain/mark/1.0/	VIDEO	2014	12
Max-Planck-Institut für Wissenschaftsgeschichte (Max Planck Institute for the History of Science)	germany	http://creativecommons.org/licenses/by-sa/3.0/de	TEXT	2014	1330
Max-Planck-Institut für Wissenschaftsgeschichte (Max Planck Institute for the History of Science)	germany	http://creativecommons.org/licenses/by-nc-sa/3.0/de/	VIDEO	2014	4
Národní filmový archiv	czech republic	http://www.europeana.eu/rights/rr-f/	IMAGE	2013	1193
Národní filmový archiv	czech republic	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	132
Alvøen Hovedbygning	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1320
Stavanger skolemuseum	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	999
Stavanger skolemuseum	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	305
Max-Planck-Institut für Wissenschaftsgeschichte	germany	http://creativecommons.org/licenses/by-sa/4.0/	TEXT	2015	1264
Max-Planck-Institut für Wissenschaftsgeschichte	germany	http://www.europeana.eu/rights/unknown/	TEXT	2015	24
Institut National de l'Audiovisuel	france	http://www.europeana.eu/rights/rr-r/	VIDEO	2015	80716
Zuidwestbrabants Museum	belgium	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	1286
Zuidwestbrabants Museum	belgium	http://www.europeana.eu/rights/rr-f/	TEXT	2015	1
RiddoDuottarMuseat	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	453
RiddoDuottarMuseat	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2014	2
RiddoDuottarMuseat	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	203
RiddoDuottarMuseat	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2014	483
RiddoDuottarMuseat	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	114
RiddoDuottarMuseat	norway	http://creativecommons.org/licenses/by-sa/3.0/	IMAGE	2016	1
RiddoDuottarMuseat	norway	http://creativecommons.org/licenses/by-nc-nd/3.0/	IMAGE	2015	26
Ishavsmuseet Aarvak	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	282
Ishavsmuseet Aarvak	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	986
Ishavsmuseet Aarvak	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2015	5
Ishavsmuseet Aarvak	norway	http://www.europeana.eu/rights/rr-f/	TEXT	2016	1
Ben Uri Gallery and Museum, London	united kingdom	http://www.europeana.eu/rights/rr-f/	IMAGE	2014	1261
Ben Uri Gallery and Museum, London	united kingdom	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	2
Miskolci Egyetem	hungary	http://creativecommons.org/licenses/by-nc-nd/4.0/	TEXT	2016	1016
Miskolci Egyetem	hungary	http://creativecommons.org/publicdomain/mark/1.0/	TEXT	2016	213
Miskolci Egyetem	hungary	http://www.europeana.eu/rights/rr-p/	TEXT	2016	13
Miskolci Egyetem	hungary	http://www.europeana.eu/rights/rr-f/	TEXT	2016	1
Hillerød Lokalarkiv	denmark	http://creativecommons.org/licenses/by-nc-nd/1.0/	IMAGE	2015	1227
Vest-Agder-museet	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2013	3
Vest-Agder-museet	norway	http://www.europeana.eu/rights/rr-f/	VIDEO	2014	4
Vest-Agder-museet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2015	891
Vest-Agder-museet	norway	http://www.europeana.eu/rights/rr-f/	IMAGE	2016	223
Vest-Agder-museet	norway	http://www.europeana.eu/rights/unknown/	IMAGE	2014	82
Vest-Agder-museet	norway	http://www.europeana.eu/rights/unknown/	IMAGE	2015	5
SNM - Múzeum Ľudovíta Štúra Modra	slovakia	http://www.europeana.eu/rights/unknown/	IMAGE	2014	1186
